Date,Description,Debit,Credit
2025-01-14,SAFEWAY STORE #2345,92.15,
2025-01-16,MCDONALD'S F12345,8.99,
2025-01-18,CHEVRON GAS STATION,38.50,
2025-01-20,DISNEY+ SUBSCRIPTION,13.99,
2025-01-22,NORDSTROM #567,145.67,
2025-01-25,AMERICAN AIRLINES 0098765,425.00,
2025-01-28,HYATT REGENCY HOTEL,215.50,
2025-01-30,AT&T WIRELESS,85.00,
2025-02-01,PUBLIX SUPER MARKET,67.89,
2025-02-03,UBER EATS *DELIVERY,22.30,
2025-02-05,RITE AID #4321,15.99,
2025-02-07,TICKETMASTER EVENT,78.50,
2025-02-10,AUTOMATIC PAYMENT,,1200.00
2025-02-12,TRADER JOES #789,95.43,
2025-02-14,DUNKIN DONUTS #567,5.75,
2025-02-16,LYFT RIDE,18.25,
2025-02-18,AMAZON.COM*AB1234,89.99,
2025-02-20,VERIZON WIRELESS,95.00,
2025-02-22,WEGMANS FOOD MKT,134.56,
2025-02-24,APPLEBEES #345,35.80,
2025-02-26,HERTZ RENT-A-CAR,178.90,
2025-02-28,REFUND - NORDSTROM,,145.67
2025-03-02,HULU SUBSCRIPTION,17.99,
2025-03-04,WENDY'S #8765,9.45,
2025-03-06,CVS/PHARMACY #2345,27.50,
2025-03-08,SIX FLAGS TICKETS,65.00,
2025-03-10,VENMO PAYMENT,300.00,
2025-03-12,KROGER FUEL CENTER,41.25,
2025-03-14,SUSHI PALACE,42.00,
2025-03-15,STATE FARM INSURANCE,125.00,
