Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/15/2025,01/16/2025,KROGER #1234,Groceries,Sale,-85.43,
01/15/2025,01/16/2025,STARBUCKS STORE 5678,Food & Drink,Sale,-6.75,
01/17/2025,01/18/2025,SHELL OIL 98765,Gas,Sale,-45.20,
01/18/2025,01/19/2025,NETFLIX.COM,Entertainment,Sale,-15.99,
01/20/2025,01/21/2025,AMAZON.COM*MK1234,Shopping,Sale,-67.89,
01/22/2025,01/23/2025,CHIPOTLE ONLINE 4321,Food & Drink,Sale,-12.50,
01/25/2025,01/26/2025,UNITED AIRLINES 0012345,Travel,Sale,-342.00,
01/26/2025,01/27/2025,CVS/PHARMACY #8765,Health & Wellness,Sale,-23.45,
01/28/2025,01/29/2025,MARRIOTT HOTELS RES,Travel,Sale,-189.99,
01/30/2025,01/31/2025,COMCAST CABLE COMM,Bills & Utilities,Sale,-89.99,
02/01/2025,02/02/2025,WHOLE FOODS MKT #1234,Groceries,Sale,-112.34,
02/02/2025,02/03/2025,UBER TRIP,Travel,Sale,-24.50,
02/03/2025,02/04/2025,ONLINE PAYMENT - THANK YOU,Payment,Payment,500.00,
02/05/2025,02/06/2025,DOORDASH*DASHER,Food & Drink,Sale,-31.45,
02/07/2025,02/08/2025,TARGET 00012345,Merchandise,Sale,-54.32,
02/10/2025,02/11/2025,SPOTIFY USA,Entertainment,Sale,-10.99,
02/12/2025,02/13/2025,WALGREENS #5432,Health & Wellness,Sale,-18.75,
02/14/2025,02/15/2025,THE OLIVE GARDEN #123,Food & Drink,Sale,-48.67,
02/15/2025,02/16/2025,DELTA AIR LINES 0067890,Travel,Sale,-275.00,
02/18/2025,02/19/2025,HOME DEPOT #4567,Shopping,Sale,-156.78,
02/20/2025,02/21/2025,KROGER #1234,Groceries,Sale,-93.21,
02/22/2025,02/23/2025,AMC THEATRES #789,Entertainment,Sale,-32.00,
02/25/2025,02/26/2025,ZELLE TRANSFER TO JOHN,Transfer,Sale,-200.00,
03/01/2025,03/02/2025,TRADER JOES #456,Groceries,Sale,-78.90,
03/03/2025,03/04/2025,EXXONMOBIL 12345,Gas,Sale,-52.10,
03/05/2025,03/06/2025,BEST BUY #00789,Shopping,Sale,-299.99,
03/07/2025,03/08/2025,SOUTHWEST AIR 1234567,Travel,Sale,-198.00,
03/08/2025,03/09/2025,PANERA BREAD #234,Food & Drink,Sale,-15.25,
03/10/2025,03/11/2025,GEICO AUTO INSURANCE,Bills & Utilities,Sale,-145.00,
03/12/2025,03/13/2025,COSTCO WHSE #1234,Merchandise,Sale,-234.56,
